;RUT;RAZON_SOCIAL;RUBRO;SUBRUBRO;ACTIVIDADES_ECONOMICAS;REGION;COMUNA;CIUDAD;TIPO_CONTRIBUYENTE;CONTACTO;CORREO;TELEFONO;SITIO_WEB
1;96.961.400-6;HARTING ADHESIVOS S A;INDUSTRIAS MANUFACTURERAS NO METALICAS;FABRICACION DE OTROS PRODUCTOS QUIMICOS;FABRICACION DE OTROS PRODUCTOS QUIMICOS N.C.P..;XIII REGION METROPOLITANA;QUILICURA;PERSONA JURIDICA COMERCIAL;SOCIEDADES ANONIMAS CERRADAS;;;;
2;96.960.800-6;Gasvalpo S.a.;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA;FABRICACION DE GAS, DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIAS;"FABRICACION DE GAS, DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIAS.
GAS NATURAL.";V REGION VALPARAISO;VINA DEL MAR;VIñA DEL MAR;PERSONA JURIDICA COMERCIAL;Luis Kipreos Almallotis;vbrevis@gasvalpo.cl;"
566006007000
56322277000";www.gasvalpo.cl
3;96.959.870-1;B-aron Conseil Chile S.a.;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER;ACTIVIDADES JURIDICAS Y DE ASESORAMIENTO EMPRESARIAL EN GENERAL;"ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTION.
CONSULTORES GERENCIALES.";XIII REGION METROPOLITANA;LAS CONDES;SANTIAGO;PERSONA JURIDICA COMERCIAL;null;;56223257638;www.baronconseil.cl
4;96.959.180-4;Minco Maquinarias S.a.;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES CONEXOS;"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.C.P..
MAQUINARIA PARA MOVIMIENTOS DE TIERRA.";XIII REGION METROPOLITANA;QUILICURA;SANTIAGO;PERSONA JURIDICA COMERCIAL;Andrea Rocca Stockmeyer;;"
56227335248
56227335286";www.minco.cl
5;96.958.610-K;Heladerias Ice Cream Chile Limitada;HOTELES Y RESTAURANTES;RESTAURANTES, BARES Y CANTINAS;"SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS.
HELADOS.";XIII REGION METROPOLITANA;LAS CONDES;SANTIAGO;PERSONA JURIDICA COMERCIAL;Pamela Díaz;;"
56228200100
56228200133";
6;96.957.890-5;Moulinsart S.a.;INTERMEDIACION FINANCIERA;OTROS TIPOS DE INTERMEDIACION FINANCIERA;"SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERAL.
INVERSIONES.
OTRAS ACTIVIDADES EMPRESARIALES.
DISEÑADORES.";XIII REGION METROPOLITANA;LAS CONDES;SANTIAGO;PERSONA JURIDICA COMERCIAL;null;;56222013185;www.moulinsart.cl
7;96.957.280-K;Valuetech S.a.;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;COMERCIO AL POR MENOR DE OTROS PROD. NUEVOS EN ALMC. ESPECIALIZADOS;"COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS.
INFORMATICA.";XIII REGION METROPOLITANA;RECOLETA;SANTIAGO;PERSONA JURIDICA COMERCIAL;null;;56223905600;
8;96.956.760-1;Distribuidora Y Comercializadora Llacolen S A;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS;"MAYORISTAS DE VINOS Y BEBIDAS ALCOHOLICAS Y DE FANTASIA.
BEBIDAS ALCOHOLICAS.";VIII REGION DEL BIO BIO;CORONEL;CORONEL;PERSONA JURIDICA COMERCIAL;null;;56412773390;
9;96.956.110-7;Hotel Santa Cruz Plaza S.a.;INDUSTRIAS MANUFACTURERAS NO METALICAS;ELABORACION DE BEBIDAS;"ELABORACION DE BEBIDAS ALCOHOLICAS Y DE ALCOHOL ETILICO A PARTIR DE SUSTANCIAS FERMENTADAS Y OTROS.
HOTELES.";VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;SANTA CRUZ;SANTA CRUZ;PERSONA JURIDICA COMERCIAL;Myrtha Vanessa Zavala Chian;"
vzavala@almacruz.cl
cquilodran@almacruz.cl";56722209600;www.hotelsantacruzplaza.cl
10;96.955.780-0;Fisa S.a.;INDUSTRIAS MANUFACTURERAS NO METALICAS;ACTIVIDADES DE EDICION;"EDICION DE FOLLETOS, PARTITURAS Y OTRAS PUBLICACIONES.
SERVICIOS PARA LA MINERIA.";XIII REGION METROPOLITANA;SANTIAGO;SANTIAGO;PERSONA JURIDICA COMERCIAL;Michelle Pefaur;ventas@sicurlatinoamerica.cl  launch;"
56225307000
56225307214";
